コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
JXKinV531vw,検査中、家族は外で待つだけ？付き添いの役割とは #検査付き添い #家族の付き添い #検査前の不安 #病院付き添い #医療の疑問 #患者さん向け #診療放射線技師,"Aug 16, 2026",55,,,,13,0
vmSq6QQOkLo,泣いている子、無理やり撮影するの？#診療放射線技師 #レントゲン #小児レントゲン #子どもの検査 #病院付き添い #検査の不安 #医療の豆知識 #子育てママ #子育てパパ #育児の不安 #保存推奨,"Jul 10, 2026",54,,,,22,0
y_bN4gYAbOA,MRI室に車椅子を持ち込むとどうなる？#MRI #MRI検査 #放射線技師 #診療放射線技師 #検査前 #金属チェック #医療知識 #医療雑学 #不安解消,"May 22, 2026",55,,,,45,0
ECyOLRqIiAs,レントゲン１回って危険？,"May 9, 2026",24,,,,4,0
fRdBecey4kU,エコーって被ばくする？実は放射線ゼロの検査です#エコー検査 #超音波検査 #被ばくなし #放射線ゼロ #検査前 #病院検査 #医療知識 #放射線技師 #検査の不安 #保存推奨,"Jun 2, 2026",52,,,,10,0
grGxsPfVI0Y,親の薬が分からない時 、家族が検査前にできること 　#検査前 #お薬手帳 #薬の確認 #家族の付き添い #病院検査 #検査の不安 #患者さん向け #診療放射線技師,"Aug 17, 2026",43,,,,12,0
Iku9RNEZaRE,説明が聞き取れなかった時、聞き返して大丈夫です　#検査前の不安 #医療検査 #放射線検査 #聞き返して大丈夫 #付き添い家族 #患者さんへ #診療放射線技師,"Aug 30, 2026",48,,,,15,0
 -DoFDIHnzHk,検査中に動いてしまったら、撮り直しになる？ #放射線検査 #検査の不安 #撮り直し #医療検査 #患者さん向け #診療放射線技師 #検査前に知りたい #病院で不安,"Aug 1, 2026",61,,,,8,0
LLT3ZuuCYKg,ギプスのままレントゲンは撮れるの？#レントゲン #X線検査 #ギプス #骨折 #整形外科 #検査の不安 #医療知識 #診療放射線技師 #病院検査 #健康情報,"Jul 20, 2026",60,,,,28,0
qLjkXUbK-tk,レントゲン前の湿布、写ることがあります #Shorts#診療放射線技師#レントゲン#レントゲン検査#医療雑学#病院の豆知識#検査前#湿布#カイロ#健康情報,"May 16, 2026",39,,,,11,0
bdnyc883dDk,足の手術なのに、なぜ胸の検査もするの？#手術前検査 #胸部X線 #胸のレントゲン #レントゲン #麻酔前検査 #術前検査 #病院の検査 #検査前の不安 #医療知識 #患者さん向け #診療放射線技師,"Jun 26, 2026",71,,,,5,0
